Tarih;Saat;Toplam(MWh);Doğalgaz;Rüzgar;Linyit;Taş Kömür;İthal Kömür;Fueloil;Jeotermal;Barajlı;Nafta;Biyokütle;Akarsu;Gunes;Diğer
02.04.2025 00:00;00:00;27.994,14;2.530,89;5.455,67;2.369,00;0,00;4.936,20;7,80;1.098,29;6.338,14;0,00;978,40;4.126,47;4,58;148,70
02.04.2025 01:00;01:00;26.524,38;2.452,29;5.252,90;2.438,00;0,00;4.592,04;0,80;1.102,75;5.446,74;0,00;971,88;4.115,46;2,92;148,60
02.04.2025 02:00;02:00;25.594,32;2.558,39;5.097,56;2.575,00;0,00;4.142,20;0,80;1.106,00;4.946,34;0,00;965,58;4.050,49;3,36;148,60
02.04.2025 03:00;03:00;25.009,65;2.556,19;4.770,23;2.540,00;0,00;3.937,20;0,80;1.111,09;5.014,84;0,00;967,23;3.959,60;3,87;148,60
02.04.2025 04:00;04:00;24.772,90;2.619,59;4.290,91;2.572,00;0,00;4.287,20;0,80;1.110,89;4.813,25;0,00;967,39;3.957,43;4,84;148,60
02.04.2025 05:00;05:00;24.682,12;2.722,89;4.033,83;2.446,00;0,00;4.632,20;7,80;1.112,84;4.578,77;0,00;969,73;4.009,67;19,69;148,70
02.04.2025 06:00;06:00;24.738,10;3.417,26;3.889,89;2.534,00;0,00;5.093,20;7,80;1.116,54;3.334,27;0,00;985,28;4.122,62;88,22;149,02
02.04.2025 07:00;07:00;26.803,42;4.327,69;3.755,19;2.537,09;120,00;5.095,20;11,80;1.105,86;3.448,57;0,00;999,18;4.102,53;1.146,09;154,22
02.04.2025 08:00;08:00;31.012,55;5.747,50;3.648,25;2.644,29;120,00;5.192,20;13,40;1.098,63;3.850,47;0,00;1.002,76;4.149,09;3.355,24;190,72
02.04.2025 09:00;09:00;33.647,55;5.792,04;3.679,05;2.662,29;135,00;5.185,20;15,60;1.088,41;4.278,14;0,00;1.021,91;4.112,57;5.441,42;235,92
02.04.2025 10:00;10:00;35.045,14;5.725,60;3.659,29;2.700,28;135,00;4.927,20;16,90;1.076,47;4.435,74;0,00;1.033,82;4.049,73;7.036,13;248,98
02.04.2025 11:00;11:00;35.418,30;5.682,73;3.742,07;2.477,78;135,00;4.674,20;17,80;1.070,00;4.309,04;0,00;1.039,66;4.036,55;7.973,86;259,61
02.04.2025 12:00;12:00;34.677,31;5.607,92;3.735,30;2.521,90;135,00;4.466,20;18,90;1.052,63;3.652,44;0,00;1.033,18;3.951,83;8.237,15;264,86
02.04.2025 13:00;13:00;35.210,39;5.689,98;3.916,82;2.578,49;135,00;4.741,20;17,80;1.040,24;3.839,14;0,00;1.034,86;4.001,56;7.951,42;263,88
02.04.2025 14:00;14:00;35.719,78;6.096,94;4.195,13;2.610,12;135,00;4.965,20;16,20;1.028,56;4.171,94;0,00;1.029,05;4.092,91;7.122,48;256,25
02.04.2025 15:00;15:00;35.588,94;6.370,55;4.499,81;2.693,90;135,00;5.208,20;15,70;1.028,25;4.430,84;0,00;1.013,07;4.102,47;5.845,56;245,59
02.04.2025 16:00;16:00;36.035,23;7.329,81;4.742,22;2.780,19;135,00;5.204,20;12,80;1.030,61;5.138,74;0,00;1.004,60;4.278,58;4.147,50;230,98
02.04.2025 17:00;17:00;36.131,24;8.500,87;4.792,15;2.842,10;135,00;5.191,20;10,20;1.033,70;5.872,24;0,00;991,26;4.489,65;2.057,04;215,83
02.04.2025 18:00;18:00;36.022,50;8.684,90;4.671,85;2.884,40;135,00;5.229,20;9,00;1.036,13;7.099,33;0,00;977,81;4.613,51;474,80;206,57
02.04.2025 19:00;19:00;36.551,44;8.852,63;4.591,57;3.079,10;135,00;5.228,20;7,80;1.049,69;7.701,63;0,00;975,61;4.702,14;24,77;203,30
02.04.2025 20:00;20:00;36.567,32;8.897,33;4.401,63;3.082,10;135,00;5.228,20;7,80;1.065,35;7.703,63;0,00;981,40;4.854,88;7,10;202,90
02.04.2025 21:00;21:00;35.626,69;8.893,05;4.090,69;3.143,10;135,00;5.228,20;7,80;1.079,55;7.051,33;0,00;972,62;4.816,16;7,59;201,60
02.04.2025 22:00;22:00;35.154,83;8.548,36;3.624,23;3.144,10;135,00;5.228,20;7,80;1.072,48;7.515,94;0,00;974,46;4.695,74;6,92;201,60
02.04.2025 23:00;23:00;33.868,06;8.356,61;3.319,58;3.179,60;135,00;5.228,20;7,80;1.080,64;6.687,64;0,00;964,32;4.699,34;7,73;201,60
03.04.2025 00:00;00:00;32.007,20;7.877,52;3.002,31;3.213,10;135,00;5.174,20;7,00;1.106,66;5.867,14;0,00;942,64;4.462,28;10,75;208,60
03.04.2025 01:00;01:00;30.317,09;7.330,70;2.745,20;3.205,10;135,00;5.174,20;7,00;1.110,31;5.108,14;0,00;936,48;4.347,05;9,31;208,60
03.04.2025 02:00;02:00;28.729,99;6.128,60;2.527,94;3.234,10;135,00;5.174,20;7,00;1.113,45;4.876,14;0,00;931,18;4.386,26;7,52;208,60
03.04.2025 03:00;03:00;28.065,27;5.787,80;2.291,97;3.253,10;135,00;5.174,20;7,00;1.117,04;4.914,64;0,00;930,43;4.237,39;8,10;208,60
03.04.2025 04:00;04:00;27.920,17;5.717,50;2.160,82;3.246,10;135,00;5.174,30;0,00;1.118,64;4.998,34;0,00;931,77;4.219,43;9,67;208,60
03.04.2025 05:00;05:00;27.888,73;5.787,60;2.096,01;3.300,50;135,00;5.174,20;7,00;1.122,63;4.697,64;0,00;935,21;4.397,10;27,01;208,83
03.04.2025 06:00;06:00;27.553,42;6.566,90;1.986,72;3.370,50;135,00;5.174,31;7,00;1.124,13;3.445,64;0,00;948,98;4.417,66;167,10;209,48
03.04.2025 07:00;07:00;29.250,28;7.542,70;1.999,58;3.352,10;135,00;5.176,20;10,70;1.113,21;3.131,64;0,00;950,05;4.433,98;1.188,77;216,35
03.04.2025 08:00;08:00;33.440,69;8.485,19;2.088,91;3.383,30;135,00;5.221,20;15,30;1.108,43;3.896,74;0,00;971,32;4.626,00;3.263,02;246,28
03.04.2025 09:00;09:00;36.161,87;8.497,92;2.107,56;3.391,80;135,00;5.220,20;18,70;1.097,80;4.297,84;0,00;989,69;4.611,47;5.530,46;263,43
03.04.2025 10:00;10:00;37.714,27;8.140,48;2.231,19;3.526,80;135,00;5.148,20;19,30;1.092,06;4.167,44;0,00;992,72;4.447,73;7.533,26;280,09
03.04.2025 11:00;11:00;38.415,41;7.867,50;2.202,33;3.698,40;135,00;4.881,20;18,50;1.070,20;4.374,94;0,00;991,37;4.388,44;8.497,47;290,06
03.04.2025 12:00;12:00;37.123,78;6.970,50;2.239,98;3.724,20;135,00;4.536,20;17,10;1.033,24;4.170,94;0,00;1.002,93;4.182,77;8.814,61;296,31
03.04.2025 13:00;13:00;37.323,92;6.880,27;2.266,90;3.643,90;135,00;5.076,10;15,60;1.030,09;4.192,94;0,00;1.001,77;4.231,13;8.554,45;295,77
03.04.2025 14:00;14:00;37.458,29;7.526,20;2.373,21;3.541,00;135,00;4.932,80;14,20;1.018,44;4.637,94;0,00;1.005,31;4.325,32;7.659,21;289,66
03.04.2025 15:00;15:00;37.298,66;8.606,71;2.361,75;3.515,90;135,00;5.054,20;12,20;1.030,52;4.569,94;0,00;1.003,09;4.349,08;6.382,58;277,69
03.04.2025 16:00;16:00;37.060,16;9.201,97;2.497,34;3.544,20;135,00;5.046,20;11,20;1.041,35;5.123,74;0,00;997,94;4.507,61;4.711,08;242,53
03.04.2025 17:00;17:00;37.011,74;9.494,26;2.557,79;3.731,10;135,00;5.037,20;9,90;1.031,96;6.669,03;0,00;993,12;4.686,72;2.442,54;223,12
03.04.2025 18:00;18:00;36.186,43;9.650,52;2.549,63;3.584,30;135,00;5.138,20;8,20;1.045,46;7.602,13;0,00;974,75;4.719,27;571,54;207,43
03.04.2025 19:00;19:00;35.690,73;9.558,35;2.594,72;3.592,10;135,00;5.137,20;7,00;1.059,71;7.543,83;0,00;954,49;4.862,94;43,19;202,20
03.04.2025 20:00;20:00;35.673,69;9.448,17;2.686,55;3.624,10;135,00;5.137,20;7,00;1.071,34;7.480,73;0,00;959,41;4.906,28;15,91;202,00
03.04.2025 21:00;21:00;35.744,82;9.769,10;2.689,63;3.670,10;135,00;5.137,20;7,00;1.079,96;7.184,13;0,00;960,43;4.898,83;11,54;201,90
03.04.2025 22:00;22:00;35.444,72;9.505,79;2.619,81;3.671,90;135,00;5.137,20;7,00;1.087,05;7.378,54;0,00;951,38;4.740,02;9,23;201,80
03.04.2025 23:00;23:00;34.687,11;9.538,70;2.522,59;3.671,10;135,00;5.137,20;7,00;1.091,60;6.778,94;0,00;952,69;4.644,50;6,09;201,70
04.04.2025 00:00;00:00;32.337,07;8.604,32;2.242,11;3.661,00;135,00;5.107,20;7,30;1.109,68;5.672,84;0,00;951,76;4.662,01;9,95;173,90
04.04.2025 01:00;01:00;30.905,25;8.264,82;2.189,26;3.634,00;135,00;5.107,20;7,30;1.113,21;4.816,84;0,00;950,18;4.544,95;8,59;133,90
04.04.2025 02:00;02:00;29.658,21;7.231,05;2.199,78;3.647,00;135,00;5.107,20;7,30;1.117,16;4.653,54;0,00;959,23;4.477,21;8,54;115,20
04.04.2025 03:00;03:00;28.713,69;6.353,22;2.313,67;3.638,00;135,00;5.107,20;7,30;1.119,69;4.596,54;0,00;959,20;4.336,46;8,11;139,30
04.04.2025 04:00;04:00;28.226,48;6.008,52;2.306,53;3.639,00;135,00;5.107,20;7,30;1.122,39;4.549,74;0,00;948,45;4.251,01;12,04;139,30
04.04.2025 05:00;05:00;28.467,27;6.467,62;2.415,20;3.644,00;135,00;5.107,20;7,30;1.125,43;4.014,74;0,00;948,95;4.429,56;33,93;138,34
04.04.2025 06:00;06:00;28.220,70;6.863,11;2.454,30;3.585,20;135,00;5.107,20;7,30;1.126,80;3.114,94;0,00;952,90;4.491,70;242,59;139,66
04.04.2025 07:00;07:00;29.332,40;6.693,02;2.427,74;3.596,70;135,00;5.109,20;11,00;1.126,01;2.849,64;0,00;955,39;4.497,00;1.781,54;150,16
04.04.2025 08:00;08:00;33.653,95;6.921,30;2.452,68;3.583,40;135,00;5.073,20;15,60;1.122,85;3.948,04;0,20;970,93;4.608,49;4.639,22;183,04
04.04.2025 09:00;09:00;35.999,24;6.892,50;2.353,82;3.449,50;135,00;5.081,20;17,20;1.114,90;3.879,94;0,40;989,68;4.534,73;7.338,90;211,47
04.04.2025 10:00;10:00;37.335,53;6.023,42;2.476,78;3.484,40;135,00;5.084,20;19,00;1.102,49;3.997,84;0,00;1.000,57;4.427,94;9.351,05;232,84
04.04.2025 11:00;11:00;38.287,49;5.705,42;2.461,49;3.529,10;135,00;5.091,20;15,50;1.090,36;4.373,84;0,00;994,44;4.274,26;10.369,76;247,12
04.04.2025 12:00;12:00;36.928,94;4.488,55;2.544,92;3.559,00;135,00;5.092,20;15,30;1.078,10;4.069,14;0,00;989,05;4.165,19;10.541,09;251,40
04.04.2025 13:00;13:00;36.427,50;4.487,93;2.556,33;3.650,30;135,00;5.021,10;8,90;1.072,82;3.857,14;0,00;979,72;4.180,16;10.228,51;249,59
04.04.2025 14:00;14:00;37.085,45;5.648,08;2.655,47;3.648,70;135,00;5.090,20;14,50;1.058,74;4.314,54;0,00;975,73;4.306,91;9.000,86;236,72
04.04.2025 15:00;15:00;36.804,56;6.819,93;2.823,94;3.754,80;135,00;5.120,20;12,90;1.051,42;4.433,54;0,00;971,89;4.361,51;7.104,68;214,75
04.04.2025 16:00;16:00;36.755,27;8.323,54;2.975,63;3.758,80;135,00;5.112,20;11,60;1.056,14;4.962,94;0,00;967,67;4.453,33;4.813,20;185,22
