Tarih;Saat;Toplam(MWh);Doğalgaz;Rüzgar;Linyit;Taş Kömür;İthal Kömür;Fueloil;Jeotermal;Barajlı;Nafta;Biyokütle;Akarsu;Gunes;Diğer
03.07.2025 00:00;00:00;40.346,40;9.541,11;7.758,66;4.064,60;266,00;9.429,50;0,40;827,60;5.791,18;0,00;961,85;1.484,71;15,99;204,80
03.07.2025 01:00;01:00;37.545,99;8.719,19;7.324,33;4.079,60;266,00;9.429,50;0,40;843,30;4.257,18;0,00;962,08;1.444,79;14,84;204,78
03.07.2025 02:00;02:00;36.369,79;8.510,70;7.095,08;3.992,60;266,00;9.429,50;0,40;855,75;3.634,88;0,00;966,69;1.398,72;14,73;204,74
03.07.2025 03:00;03:00;35.508,65;8.297,25;6.947,31;4.014,60;266,00;9.413,50;0,40;868,52;3.132,48;0,00;962,06;1.386,29;15,48;204,76
03.07.2025 04:00;04:00;34.823,82;7.732,07;6.864,89;4.059,60;266,00;9.413,50;0,40;878,02;3.105,48;0,00;963,77;1.300,26;32,05;207,78
03.07.2025 05:00;05:00;33.172,83;6.911,93;6.807,36;4.003,60;266,00;9.414,50;0,40;887,24;2.281,48;0,00;975,50;1.229,99;184,85;209,98
03.07.2025 06:00;06:00;32.690,47;5.612,63;6.706,86;4.100,50;266,00;9.113,20;0,40;884,25;1.796,48;0,00;973,39;1.203,80;1.806,81;226,15
03.07.2025 07:00;07:00;34.805,03;4.751,53;6.489,19;4.000,10;266,00;8.619,82;0,60;867,19;1.984,08;0,00;984,84;1.170,59;5.435,55;235,54
03.07.2025 08:00;08:00;39.971,06;4.481,33;6.543,56;4.153,40;266,00;9.373,00;1,90;850,52;2.514,98;0,00;1.005,30;1.428,56;9.103,19;249,32
03.07.2025 09:00;09:00;43.317,76;4.454,53;6.633,23;4.088,65;266,00;9.382,25;2,90;834,60;2.689,48;0,00;1.026,87;1.452,42;12.193,91;292,92
03.07.2025 10:00;10:00;44.686,98;4.197,93;6.895,88;3.904,70;266,00;8.858,50;3,50;810,91;2.736,08;0,00;1.043,42;1.324,95;14.322,19;322,92
03.07.2025 11:00;11:00;45.383,20;4.125,73;7.485,59;4.034,40;266,00;7.945,29;3,80;788,83;2.708,08;0,00;1.052,00;1.242,52;15.395,64;335,32
03.07.2025 12:00;12:00;44.759,82;4.124,23;7.910,61;3.990,79;266,00;7.293,30;4,00;771,55;2.125,58;0,00;1.059,03;1.099,89;15.773,62;341,22
03.07.2025 13:00;13:00;45.840,78;4.122,93;8.385,31;4.204,40;270,00;7.950,50;3,90;755,15;2.117,88;0,00;1.058,15;1.118,21;15.516,23;338,12
03.07.2025 14:00;14:00;47.736,53;4.375,13;8.733,73;4.188,00;270,00;9.052,05;3,40;727,79;3.210,58;0,00;1.053,25;1.118,57;14.679,55;324,48
03.07.2025 15:00;15:00;47.445,21;4.716,63;8.949,75;4.222,10;270,00;9.392,80;2,60;717,70;3.756,68;0,00;1.039,09;1.112,49;12.962,82;302,55
03.07.2025 16:00;16:00;46.747,87;5.680,13;9.222,15;4.265,25;270,00;9.406,82;1,30;711,94;4.191,58;0,00;1.035,86;1.334,52;10.365,60;262,72
03.07.2025 17:00;17:00;46.485,37;7.860,45;9.162,76;4.373,30;270,00;9.392,00;0,40;708,81;4.972,08;0,00;1.017,49;1.459,80;7.003,64;264,64
03.07.2025 18:00;18:00;44.786,27;9.530,85;9.128,13;4.172,00;270,00;9.420,50;0,40;711,82;5.566,88;0,00;1.006,09;1.495,57;3.227,34;256,69
03.07.2025 19:00;19:00;44.383,05;10.750,08;8.865,60;4.062,30;270,00;9.416,59;0,40;714,56;6.554,18;0,00;984,87;1.887,54;636,80;240,13
