Tarih;Saat;Toplam(MWh);Doğalgaz;Rüzgar;Linyit;Taş Kömür;İthal Kömür;Fueloil;Jeotermal;Barajlı;Nafta;Biyokütle;Akarsu;Gunes;Diğer
01.01.2025 00:00;00:00;30.848,82;5.753,31;2.024,78;4.423,00;256,00;9.389,20;14,50;1.125,97;5.243,04;0,40;944,40;1.541,62;0,00;132,60
01.01.2025 01:00;01:00;28.950,78;5.265,68;1.885,65;4.137,00;256,00;9.388,80;7,50;1.129,01;4.506,04;0,40;948,78;1.293,32;0,00;132,60
01.01.2025 02:00;02:00;27.501,66;5.246,68;1.821,14;3.930,00;256,00;9.389,20;15,50;1.131,49;3.506,04;0,40;951,48;1.121,13;0,00;132,60
01.01.2025 03:00;03:00;26.344,22;5.154,06;1.805,30;3.769,00;256,00;9.347,00;22,50;1.133,42;2.715,74;0,50;952,58;1.056,62;0,00;131,50
01.01.2025 04:00;04:00;25.929,17;5.350,01;1.741,55;3.706,00;256,00;9.347,00;14,50;1.135,94;2.331,94;0,40;946,38;968,15;0,00;131,30
01.01.2025 05:00;05:00;26.125,45;5.670,18;1.735,08;3.725,00;256,00;9.347,00;14,50;1.137,41;2.174,44;0,40;943,38;990,76;0,00;131,30
01.01.2025 06:00;06:00;26.209,23;5.690,19;1.718,96;3.805,60;256,00;9.347,00;14,50;1.138,21;2.069,14;1,10;950,64;1.086,59;0,00;131,30
01.01.2025 07:00;07:00;27.184,59;5.733,38;1.638,42;3.852,50;256,00;9.379,00;14,50;1.138,04;2.863,34;1,10;957,74;1.216,69;2,58;131,30
01.01.2025 08:00;08:00;27.056,47;5.259,89;1.548,68;3.843,90;256,00;9.380,00;14,50;1.137,11;2.989,64;1,10;954,06;1.403,24;135,95;132,40
01.01.2025 09:00;09:00;26.936,61;4.895,24;1.566,04;3.842,20;256,00;9.393,00;18,50;1.134,71;2.778,64;0,30;962,84;1.306,85;649,69;132,60
01.01.2025 10:00;10:00;26.420,51;4.205,40;1.557,27;3.743,58;256,00;8.950,90;14,50;1.129,33;3.190,04;0,30;951,77;1.288,13;1.000,69;132,60
